Unnamed: 0,Name,Album,Artist
50,Bekhayali (Dark),Kabir Singh,Sachet Tandon
51,Kaise Hua (Dark),Kabir Singh,Vishal Mishra
52,Khairiyat (Dark),Chhichhore,Arijit Singh
53,Tera Fitoor (Dark),Genius,Arijit Singh
54,Main Rahoon Ya Na Rahoon (Dark),Single,Armaan Malik
55,Tera Zikr (Dark),Single,Darshan Raval
56,Zaroori Tha (Dark),Single,Rahat Fateh Ali Khan
57,Aadat (Dark),Kalyug,Atif Aslam
58,Woh Lamhe (Dark),Woh Lamhe,Atif Aslam
59,Dooriyan (Dark),Love Aaj Kal,Mohit Chauhan
60,Shayad (Dark),Love Aaj Kal,Arijit Singh
61,Haan Main Galat (Dark),Love Aaj Kal,Arijit Singh
62,Aaj Din Chadheya (Dark),Love Aaj Kal,Rahat Fateh Ali Khan
63,Saibo (Dark),Shor in the City,Shreya Ghoshal
64,Iktara (Dark),Wake Up Sid,Kavita Seth
65,Shaam (Dark),Aisha,Nikhil DÃ¢â‚¬â„¢Souza
66,Kasoor (Dark),Single,Prateek Kuhad
67,Kabira (Dark),YJHD,Tochi Raina
68,Ilahi (Dark),YJHD,Arijit Singh
69,Subhanallah (Dark),YJHD,Sreeram Chandra
70,Ajab Si (Dark),Om Shanti Om,KK
71,Kal Ho Naa Ho (Dark),Kal Ho Naa Ho,Sonu Nigam
72,Abhi Mujh Mein Kahin (Dark),Agneepath,Sonu Nigam
73,Mitwa (Dark),KANK,Shankar Mahadevan
74,Tere Bina (Dark),Guru,A R Rahman
75,Maahi (Dark),Raaz 2,Toshi Sabri
76,Saiyaara (Dark),Ek Tha Tiger,Mohit Chauhan
77,Tum Tak (Dark),Raanjhanaa,Javed Ali
78,Tu Chahiye (Dark),Bajrangi Bhaijaan,Atif Aslam
79,Main Rang Sharbaton Ka (Dark),Phata Poster Nikhla Hero,Atif Aslam
80,Be Intehaan (Dark),Race 2,Atif Aslam
81,Tu Hi Haqeeqat (Dark),Tum Mile,Javed Ali
82,Jo Bheji Thi Dua (Dark),Shanghai,Arijit Singh
83,Muskurane (Dark),CityLights,Arijit Singh
84,Saware (Dark),Phantom,Arijit Singh
85,Darkhaast (Dark),Shivaay,Arijit Singh
86,Raaz Aankhein Teri (Reprise),Raaz Reboot,Arijit Singh
87,Bhoot Theme,Bhoot,Instrumental
88,Talaash Theme,Talaash,Instrumental
89,Raaz Theme,Raaz,Instrumental
90,1920 Theme,1920,Instrumental
91,Ragini MMS Theme,Ragini MMS,Instrumental
92,Ek Thi Daayan Theme,Ek Thi Daayan,Instrumental
93,Pari Theme,Pari,Instrumental
94,Stree Theme,Stree,Instrumental
95,Go Goa Gone Theme,Go Goa Gone,Instrumental
96,Andhadhun Theme,Andhadhun,Amit Trivedi
97,Drishyam Theme,Drishyam,Vishal Bhardwaj
98,Kahaani Theme,Kahaani,Vishal-Shekhar
99,Special 26 Theme,Special 26,M M Kreem
