Unnamed: 0,Name,Album,Artist
58,Tera Zikr,Single,Darshan Raval
59,Zaroori Tha,Single,Rahat Fateh Ali Khan
60,Raaz Aankhein Teri,Raaz Reboot,Arijit Singh
61,Lo Maan Liya,Raaz Reboot,Arijit Singh
62,Yaad Hai Na,Raaz Reboot,Arijit Singh
63,Muskurane,CityLights,Arijit Singh
64,Saware,Phantom,Arijit Singh
65,Darkhaast,Shivaay,Arijit Singh
66,Jo Bheji Thi Dua,Shanghai,Arijit Singh
67,Naina,Dangal,Arijit Singh
68,Tera Ban Jaunga,Kabir Singh,Akhil Sachdeva
69,Kaise Hua,Kabir Singh,Vishal Mishra
70,Phir Bhi Tumko Chaahunga,Half Girlfriend,Arijit Singh
71,Baarish,Half Girlfriend,Ash King
72,Sun Raha Hai,Aashiqui 2,Ankit Tiwari
73,Bhula Dena,Aashiqui 2,Mustafa Zahid
74,Aasan Nahin Yahan,Aashiqui 2,Arijit Singh
75,Milne Hai Mujhse Aayi,Aashiqui 2,Arijit Singh
76,Chahun Main Ya Naa,Aashiqui 2,Arijit Singh
77,Tum Hi Ho,Aashiqui 2,Arijit Singh
78,Alvida (Reprise),Life in a Metro,KK
79,O Saathi,Baaghi 2,Atif Aslam
80,Jeena Jeena,Badlapur,Atif Aslam
81,Tere Sang Yaara,Rustom,Atif Aslam
82,Raataan Lambiyan,Shershaah,Jubin Nautiyal
83,Ranjha,Shershaah,Jasleen Royal
84,Shayad,Love Aaj Kal,Arijit Singh
85,Haan Main Galat,Love Aaj Kal,Arijit Singh
86,Aaj Din Chadheya,Love Aaj Kal,Rahat Fateh Ali Khan
87,Saibo (Reprise),Shor in the City,Shreya Ghoshal
88,Iktara,Wake Up Sid,Kavita Seth
89,Shaam,Aisha,Nikhil DÃ¢â‚¬â„¢Souza
90,Kasoor,Single,Prateek Kuhad
91,Kabira,Yeh Jawaani Hai Deewani,Tochi Raina
92,Ilahi,Yeh Jawaani Hai Deewani,Arijit Singh
93,Subhanallah,Yeh Jawaani Hai Deewani,Sreeram Chandra
94,Ajab Si,Om Shanti Om,KK
95,Zara Zara,Rehnaa Hai Terre Dil Mein,Bombay Jayashri
96,Tum Bin,Tum Bin,Chitra
97,Maahi,Raaz 2,Toshi Sabri
98,Saiyaara,Ek Tha Tiger,Mohit Chauhan
99,Beedi Jalaile,Omkara,Sunidhi Chauhan
