Unnamed: 0,Name,Album,Artist
33,Sunny Sunny,Yaariyan,Yo Yo Honey Singh
34,Blue Eyes,Single,Yo Yo Honey Singh
35,High Heels,Ki & Ka,Jaz Dhami
36,Angreji Beat,Cocktail,Gippy Grewal
37,Main Tera Boyfriend,Raabta,Arijit Singh
38,Ik Vaari Aa (Dance),Raabta,Arijit Singh
39,Kamariya,Stree,Aastha Gill
40,Aankh Marey,Simmba,Neha Kakkar
41,Tere Vaaste,Zara Hatke Zara Bachke,Varun Jain
42,Jai Jai Shivshankar,War,Vishal Dadlani
43,Ghungroo,War,Arijit Singh
44,Besharam Rang,Pathaan,Shilpa Rao
45,Jhoome Jo Pathaan,Pathaan,Arijit Singh
46,Kesariya (Dance Mix),Brahmastra,Arijit Singh
47,What Jhumka,Rocky Aur Rani Ki Prem Kahani,Arijit Singh
48,Show Me The Thumka,Tu Jhoothi Main Makkaar,Sunidhi Chauhan
49,Tere Pyaar Mein,Tu Jhoothi Main Makkaar,Arijit Singh
50,Paisa Hai Toh,Farzi (Series),Sachin-Jigar
51,Aafat,Liger,Tanishk Bagchi
52,Coca Cola,Luka Chuppi,Tony Kakkar
53,Garmi,Street Dancer 3D,Badshah
54,Illegal Weapon 2.0,Street Dancer 3D,Jasmine Sandlas
55,Muqabla,Street Dancer 3D,Yash Narvekar
56,Nachi Nachi,Street Dancer 3D,Neeti Mohan
57,Badri Ki Dulhania,Badrinath Ki Dulhania,Dev Negi
58,Sweety Tera Drama,Bareilly Ki Barfi,Dev Negi
59,Tareefan,Veere Di Wedding,Badshah
60,Veere,Veere Di Wedding,Vishal Mishra
61,Galla Goodiyan,Dil Dhadakne Do,Yashita Sharma
62,Senorita,Zindagi Na Milegi Dobara,Farhan Akhtar
63,Ik Junoon,Zindagi Na Milegi Dobara,Vishal Dadlani
64,Ude Dil Befikre,Befikre,Benny Dayal
65,Nashe Si Chadh Gayi,Befikre,Arijit Singh
66,Kudi Nu Nachne De,Angrezi Medium,Vishal Dadlani
67,Laung Da Lashkara,Patiala House,Mahalakshmi Iyer
68,Challa,Jab Tak Hai Jaan,Rabbi Shergill
69,Sauda Khara Khara,Good Newwz,Sukhbir
70,Morni Banke,Badhaai Ho,Guru Randhawa
71,Dil Chori,Sonu Ke Titu Ki Sweety,Yo Yo Honey Singh
72,Ban Ja Rani,Tumhari Sulu,Guru Randhawa
73,Naach Meri Rani,Single,Guru Randhawa
74,Saami Saami (Hindi),Pushpa,Sunidhi Chauhan
75,Oo Antava (Hindi),Pushpa,Kanika Kapoor
76,Tip Tip (Remix),Sooryavanshi,Alka Yagnik
77,Aila Re Aillaa,Sooryavanshi,Daler Mehndi
78,Deva Deva (Dance),Brahmastra,Arijit Singh
79,Raataan Lambiyan,Shershaah,Jubin Nautiyal
80,Kala Chashma,Baar Baar Dekho,Amar Arshi
81,Nachde Ne Saare,Baar Baar Dekho,Jasleen Royal
82,Dance Ka Bhoot,Brahmastra,Arijit Singh
83,Bhool Bhulaiyaa 2 Title Track,Bhool Bhulaiyaa 2,Neeraj Shridhar
84,Character Dheela,Ready,Neeraj Shridhar
85,Hookah Bar,Khiladi 786,Himesh Reshammiya
86,Balwinder Singh Famous Ho Gaya,Single,Badshah
87,Jugnu,Single,Badshah
88,Players Theme,Players,Neeraj Shridhar
89,Let's Nacho,Kapoor & Sons,Badshah
90,Nachange Saari Raat,Junooniyat,Meet Bros
91,Disco Disco,A Gentleman,Benny Dayal
92,Beat Pe Booty,A Flying Jatt,Sachin Sanghvi
93,Pungi,Agent Vinod,Mika Singh
94,Afghan Jalebi,Phantom,Asrar
95,Selfie Le Le Re,Bajrangi Bhaijaan,Vishal Dadlani
96,Ainvayi Ainvayi,Band Baaja Baaraat,Salim Merchant
97,Dhating Naach,Phata Poster Nikhla Hero,Nakash Aziz
98,Ghani Bawri,Tanu Weds Manu Returns,Jyoti Nooran
99,Ram Chahe Leela,Goliyon Ki Raasleela Ram-Leela,Bhoomi Trivedi
