Unnamed: 0,Name,Album,Artist
73,Mitwa,Kabhi Alvida Naa Kehna,Shankar Mahadevan
74,Kal Ho Naa Ho,Kal Ho Naa Ho,Sonu Nigam
75,Abhi Mujh Mein Kahin,Agneepath,Sonu Nigam
76,O Re Piya,Aaja Nachle,Rahat Fateh Ali Khan
77,Maula Mere Maula,Anwar,Roop Kumar Rathod
78,Muskurane,CityLights,Arijit Singh
79,Saware,Phantom,Arijit Singh
80,Darkhaast,Shivaay,Arijit Singh
81,Raaz Aankhein Teri,Raaz Reboot,Arijit Singh
82,Naina,Dangal,Arijit Singh
83,Aayat,Bajirao Mastani,Arijit Singh
84,Laal Ishq,Ram-Leela,Arijit Singh
85,Tum Tak,Raanjhanaa,Javed Ali
86,Tere Bina,Guru,A R Rahman
87,Guzaarish,Ghajini,Javed Ali
88,Kaise Mujhe,Ghajini,Benny Dayal
89,Tum Mile,Tum Mile,Neeraj Shridhar
90,Dil Ibaadat,Tum Mile,KK
91,Phir Mohabbat,Murder 2,Arijit Singh
92,Chahun Main Ya Naa,Aashiqui 2,Arijit Singh
93,Sun Raha Hai,Aashiqui 2,Ankit Tiwari
94,Bhula Dena,Aashiqui 2,Mustafa Zahid
95,Aasan Nahin Yahan,Aashiqui 2,Arijit Singh
96,Milne Hai Mujhse Aayi,Aashiqui 2,Arijit Singh
97,Jo Bheji Thi Dua,Shanghai,Arijit Singh
98,Alvida,Life in a Metro,KK
99,Zara Zara,Rehnaa Hai Terre Dil Mein,Bombay Jayashri
